id,name_en,name_ne,name_hi,name_zh,aliases,kind,district,municipality,ward,lat,lon,elev_m,km,side,in_channel,below_barrier_lakes,notes
gyirong_town,Gyirong town (Kyirong),केरुङ बजार,केरुंग कस्बा,吉隆镇,Gyirong Town|Gyirong Zhen|Kyirong town|Kerung town|Jilong Zhen|吉隆镇|केरुङ बजार,settlement,,,,28.39917,85.32324,,-25,CN,false,false,"County-seat town ~25 km up-valley on the Gyirong Zangbo, not hit; Chinese-side evacuation and staging hub; coord: OSM/Nominatim relation/12304390 '吉隆镇'"
barrier_lake_lhende,Lhende Khola barrier lake (upper),ल्हेन्दे खोला थुनिएको ताल,ल्हेंदे खोला अवरुद्ध झील,伦德曲堰塞湖,Lhende lake|Lende Khola lake|second barrier lake|Nepal-side Lhende lake|ल्हेन्दे ताल,hazard,,,,28.36,85.42,,-18,CN,true,false,~0.11 km2 lake ~18 km above Rasuwagadhi identified by NDRRMA in Planet/Landsat imagery 27 Aug 11:44; coord estimated from the 18 km figure
barrier_lake_site,Barrier lake site (Chhochen Khola–Purepu Tsangpo confluence),थुनिएको ताल (छोचेन खोला–पुरेपु साङ्पो सङ्गम),अवरुद्ध झील (छोचेन खोला–पुरेपु सांगपो संगम),堰塞湖（曲琼曲–普热普藏布汇合处）,barrier lake|Chinese-side barrier lake|Chhochen Khola|Purepu Tsangpo|थुनिएको ताल|堰塞湖,hazard,,,,28.305,85.402,,-8,CN,true,false,"Chinese-side lake >2.5 M m3, barrier ~150 m x 40-50 m high, overflowing since 28 Aug; volunteer-derived blockage point 28.305/85.402; coord estimated"
gyirong_port,Gyirong (Kerung) Port,केरुङ नाका,केरुंग बंदरगाह,吉隆口岸,Gyirong Port|Kerung|Kyirong|Jilong|Jilong Port|Gyirong Kouan|केरुङ|केरुङ भन्सार|केरुंग|吉隆口岸|吉隆,border,,,,28.2905,85.3815,,-3,CN,true,false,China–Nepal trade and Kailash-pilgrim gateway; immigration complex destroyed 26 Aug (T+7 min); ~80 Nepali container drivers stranded; coord estimated
resuo,Resuo village,रेसुओ गाउँ,रेसुओ गांव,热索村,Resuo|Resuo Cun|Resuo Bridge|热索村|热索桥|रेसुओ,settlement,,,,28.28032,85.37822,,-1,CN,true,false,Village at the Friendship (Resuo) Bridge hosting the Gyirong port zone; the port complex proper is ~1 km north (see gyirong_port); coord: OSM/Nominatim node/5086621424 '热索'
rasuwagadhi,Rasuwagadhi,रसुवागढी,रसुवागढ़ी,,Rasuwagadi|Rasuwa Gadhi|Rasuwagarhi|Rasuwa border|Friendship Bridge|रसुवागढी|रसुवागढी नाका|热索瓦,border,Rasuwa,Gosaikunda RM,2,28.27777,85.37778,1879,0,NP,true,true,"Border crossing at the Friendship Bridge; customs, immigration, APF/Army/Police posts and pilgrim hotels swept; repo reference 28.2797/85.3777; NDRRMA rescued-locations id 51 'रसुवागढी'; coord: OSM/Nominatim node/992955542 'रसुवागढी'"
rasuwagadhi_immigration,Rasuwagadhi immigration office,रसुवागढी अध्यागमन कार्यालय,रसुवागढ़ी आप्रवासन कार्यालय,,Rasuwagadhi customs|Rasuwagadhi immigration|रसुवागढी भन्सार|अध्यागमन कार्यालय रसुवागढी,checkpost,Rasuwa,Gosaikunda RM,2,28.279,85.378,,0,NP,true,true,Immigration + customs at the bridge; swept 26 Aug; coord estimated
rasuwagadhi_hep,Rasuwagadhi Hydropower (111 MW),रसुवागढी जलविद्युत आयोजना,रसुवागढ़ी जलविद्युत परियोजना,,Rasuwagadhi HEP|Rasuwagadhi Hydropower Project|RGHPP|रसुवागढी जलविद्युत,tunnel_portal,Rasuwa,Gosaikunda RM,,28.262,85.376,,1,NP,true,true,"111 MW; six/seven-storey underground powerhouse near Timure; 49 missing, 4 rescued (29 Aug); coord estimated"
timure_health_post,Timure health post,टिमुरे स्वास्थ्य चौकी,टिमुरे स्वास्थ्य चौकी,,Timure Health Post,hospital,Rasuwa,Gosaikunda RM,2,28.2638,85.3762,,3,NP,true,true,Health post; NDRRMA stationing site (centroid lies ~1.5 km north of the Timure bazaar point); coord: NDRRMA centroid (NDRRMA stationed-locations id 4 'Timure Health Post')
nagthali,Nagthali,नागथली,नागथली,,Nagthali viewpoint|Nagthali Ghyang|नागथली,lodge_cluster,Rasuwa,Aamachhodingmo RM,,28.2079,85.31583,3165,4,NP,false,false,Viewpoint lodges between Tatopani and Thuman; off-corridor; elev approx; coord: OSM/Nominatim node/2554091027 'नागथली'
