id,priority,category,provider,sensor_product,nepal_candidate,epoch_role,resolution,height_method,geometry,product_needed,what_exists,visited_status,provided_to_project,usefulness,verdict,principal_blocker,access_tier,account_required,signup_requirements,verification_mfa,eligibility_approval,contract_licence_payment,api_authentication,delivery,current_account_status,current_entitlement,next_action,source_url,access_url,auth_docs_url,confidence,verified_date,notes
OPT-01,P0,Optical stereo — commercial,Vantor,WorldView-3 original Basic/System-Ready,Exact pair B040001100881410 + B040001100881710; 27 Aug; 81.799 s; ~48.251° separation,Post,~0.3–0.4 m,Same-sensor optical stereo / RPC triangulation,Required original RPC/physical model; public copy lacks it,Original images plus RPC/RPB/IMD/attitude/ephemeris package,Public orthos prove overlap and dense correspondence,Public event and commercial route researched; exact public data processed,Strict 32 m and experimental 10 m relative residual products,Very high,Best evidenced post-event DSM acquisition request,Original camera-bearing products are commercial/partner gated,Commercial / partner-gated,Yes — Vantor customer/partner account,"Organisation, named users, work email, use case, AOI/time/product specification","Provider onboarding, email and possible enterprise SSO/MFA",Sales/partner approval and product entitlement,"Quote, order/contract and Vantor imagery licence",Portal/API credentials issued under contract,"Secure portal, API, S3/HTTPS or managed delivery",Open Data requires none; no commercial Vantor account,Public COG only; no original products,Request exact original pair from Vantor and Charter partners with camera files,https://vantor.com/company/open-data-program,https://vantor.com/contact,,High,2026-08-30,
OPT-02,P1,Optical residual — open,Vantor Open Data,WorldView-3 RGB orthos,Exact public pair B040001100881410 + B040001100881710,Post,~0.3–0.4 m source; 1 m analysis grid,Relative post-event ortho-parallax residual only,Constant scene look metadata; no RPC,Already obtained public COGs,13 public scenes; strongest pair fully processed,"Visited, downloaded, checksummed and processed",Current RESEARCH_ONLY viewer residual,High for residual; insufficient for true DSM,Promoted only as relative residual,Unknown camera and orthorectification reference DEM,Open / no authentication,No,None,None,Public,Dataset licence/attribution still applies; no account or purchase,Unsigned HTTPS/S3/STAC where offered,"Direct HTTPS, public S3, STAC or portal download",No account required,Full public COG access,Retain as evidence; do not relabel as true change,https://vantor.com/company/open-data-program,https://vantor-opendata.s3.amazonaws.com/events/Nepal-Flooding-Aug-2026/,,High,2026-08-30,
OPT-03,P3,Optical residual — rejected,Vantor Open Data,Additional WorldView-3 pair,B040001100881410 + B040001100882F10; 43.899 s; ~33.934°,Post,32 m output,Relative ortho-parallax residual,No RPC,Public COGs obtained,7.893 km² raw support; stable NMAD 6.613 m,Downloaded and fully processed,Rejected diagnostic JSON only,Low,Rejected by fixed 6.0 m gate,Stable error too high and camera models absent,Open / no authentication,No,None,None,Public,Dataset licence/attribution still applies; no account or purchase,Unsigned HTTPS/S3/STAC where offered,"Direct HTTPS, public S3, STAC or portal download",No account required,Public,No mosaic inclusion; retry only with originals,https://vantor-opendata.s3.amazonaws.com/events/Nepal-Flooding-Aug-2026/,,,High,2026-08-30,
OPT-04,P3,Optical residual — rejected,Vantor Open Data,WorldView-2 + WorldView Legion,B030001100CF1310 + B110001101165110; 910.422 s; ~33.741°,Post,32 m output,Relative ortho-parallax residual,No RPC,Public COGs obtained,3.069 km² raw support; stable NMAD 6.289 m,Downloaded and fully processed,Rejected diagnostic JSON only,Low,Rejected by fixed 6.0 m gate,Stable error too high and camera models absent,Open / no authentication,No,None,None,Public,Dataset licence/attribution still applies; no account or purchase,Unsigned HTTPS/S3/STAC where offered,"Direct HTTPS, public S3, STAC or portal download",No account required,Public,No mosaic inclusion; originals only if separately justified,https://vantor-opendata.s3.amazonaws.com/events/Nepal-Flooding-Aug-2026/,,,High,2026-08-30,
OPT-05,P0,Optical stereo — commercial,Airbus,Pléiades Neo 3 + Pléiades-1B Primary/DIMAP,Reported 28 Aug near-simultaneous Timure–Syabrubesi acquisitions,Post,0.3 m + 0.5 m,Optical stereo / exact linescan or RPC,Primary DIMAP DIM*.XML and RPC*.XML expected,Both exact Primary packages,Charter processed impact map; raw geometry not public,Charter inventory and NASA ASP product support researched,Candidate metadata only,Very high,Potentially best untested quality route,Exact look convergence and source packages unavailable,Commercial / OneAtlas contract,Yes — Airbus OneAtlas/customer account,"Organisation, work email, named users, AOI, dates, product level and intended use",Email/provider onboarding; enterprise MFA may apply,Contract/product entitlement or authorised programme access,"Quote/order, minimum area and Airbus EULA; research pricing must be requested",OneAtlas API client credentials/access token when enabled,"OneAtlas portal/API, secure download or cloud delivery",No Airbus commercial account,No Primary product access,Request both exact Primary/DIMAP acquisitions through Airbus and Charter,https://download.disasterscharter.org/activations/flood-in-nepal-activation-1052-,https://space-solutions.airbus.com/,https://stereopipeline.readthedocs.io/en/stable/examples/pleiades.html,Medium,2026-08-30,
OPT-06,P1,Optical multiview — institution/commercial,Airbus / Vantor / Charter,Pléiades-1A + GeoEye-1 + Pléiades Neo 3,Reported 29 Aug three-satellite stack within ~20 minutes,Post,~0.3–0.5 m,Cross-sensor multiview triangulation,Requires Primary/Basic RPC or physical models for all selected views,Raw camera-bearing packages,Charter inventory lead only,Charter public inventory researched,No imagery acquired,High if geometry/clarity pass,Promising but unverified stack,"Restricted packages, exact footprints, clouds and convergence unknown",Institution/authorised-responder gated,No individual self-service route,"Access through authorised national disaster authority, Charter project manager or approved value-adding partner",Credentials issued to authorised organisations/users,Activation-specific operational role and licence,Normally no charge for activation response; strict use/redistribution controls,Restricted Charter/partner portal credentials,Restricted portal/FTP/partner transfer; processed public products may be open,No authorised-user status,Public processed products only,Ask DHM/NDRRMA/Charter PM for source-package inventory and metadata,https://download.disasterscharter.org/activations/flood-in-nepal-activation-1052-,,,Medium,2026-08-30,
OPT-07,P1,Optical stereo — commercial,Planet,SkySatScene Basic + PelicanScene Basic,20260827_020055_ssc1_u0001 + 20260827_060959_65_3009; 35.1% pilot overlap; ~30.25° published-look separation,Post,~0.5 m,Cross-sensor RPC stereo,Basic product RPCs confirmed by Planet documentation,SkySat Basic/All-Frames plus Pelican Basic and RPCs,Public orthos; public pilot produced only 4 RANSAC inliers,"Source Cooperative, Planet docs and authenticated account inspected",24-scene public catalogue and failed sparse pilot,Medium,Technically valid product route but exact pair unvalidated,"No product entitlement; cloud, temporal gap and cross-sensor matching",Commercial entitlement / contract,Yes — Planet account with product entitlement,"Name, organisation, work email, password and intended use; sales onboarding for imagery products",Email verification; organisation controls/MFA may apply,Product bundle must be enabled on the account/contract,Commercial or humanitarian/research agreement; quota/credits; licence restrictions,Planet API key or OAuth/service-account credentials,"Orders API/Explorer download, HTTPS or cloud delivery",Account created and email verified,Sandbox Data/APIs only; My Products shows no active products,Request humanitarian/research entitlement for exact Basic bundles,https://data.source.coop/planet/disasterdata/nepal-flash-flood-2026-08-26/,https://www.planet.com/contact-sales/,https://docs.planet.com/develop/apis/orders/product_bundles/,High,2026-08-30,
OPT-08,P2,Optical stereo — commercial,Planet,SkySat Basic L1A All-Frames,Underlying frames for 20260827_020055_ssc1_u0001,Post,Sub-metre PAN frames,Frame-level RPC/pinhole stereo or bundle adjustment,RPC text and JSON pinhole camera models documented,basic_l1a_dn all-frames archive,Capability documented; exact entitlement absent,Official user guide and support release researched,No product acquired,High if frame overlap survives clouds,Useful companion to Pelican or intra-collect frames,Contract entitlement and large multi-frame processing,Commercial entitlement / contract,Yes — Planet account with product entitlement,"Name, organisation, work email, password and intended use; sales onboarding for imagery products",Email verification; organisation controls/MFA may apply,Product bundle must be enabled on the account/contract,Commercial or humanitarian/research agreement; quota/credits; licence restrictions,Planet API key or OAuth/service-account credentials,"Orders API/Explorer download, HTTPS or cloud delivery",Planet account verified,No high-resolution products,Include all-frames and pinhole model in entitlement request,https://assets.planet.com/docs/Planet_Basic_L1A_All-Frames_User_Guide.pdf,,https://docs.planet.com/develop/apis/orders/product_bundles/,High,2026-08-30,
OPT-09,P3,Optical context,Planet,PlanetScope Basic/Ortho,Multiple pre/post disaster acquisitions,Both / context,~3–4 m,Temporal context; no useful opposing pair identified,"Basic RPC exists, but convergence is inadequate",Public orthos or entitled Basic,Public disaster orthos catalogued,Public catalogue queried,Temporal scene inventory,Low for DSM; medium for flood context,Context only,Resolution and viewing geometry,Commercial entitlement / contract,Yes — Planet account with product entitlement,"Name, organisation, work email, password and intended use; sales onboarding for imagery products",Email verification; organisation controls/MFA may apply,Product bundle must be enabled on the account/contract,Commercial or humanitarian/research agreement; quota/credits; licence restrictions,Planet API key or OAuth/service-account credentials,"Orders API/Explorer download, HTTPS or cloud delivery",Planet account verified,Public Source Cooperative orthos and sandbox only,Use only for flood/cloud timeline,https://data.source.coop/planet/disasterdata/nepal-flash-flood-2026-08-26/,,,High,2026-08-30,
OPT-10,P2,Optical stereo — commercial,Airbus,SPOT 6/7 Primary,No exact Nepal stereo acquisition confirmed,Pre or post,~1.5 m PAN,Optical stereo with DIMAP/RPC,Primary DIMAP camera support,Archive or tasking stereo pair,Product capability and CCM archive route,Official product/access page researched,No data acquired; source/access lead only,Medium,Archive-search candidate,Exact event coverage and access unknown,Commercial / OneAtlas contract,Yes — Airbus OneAtlas/customer account,"Organisation, work email, named users, AOI, dates, product level and intended use",Email/provider onboarding; enterprise MFA may apply,Contract/product entitlement or authorised programme access,"Quote/order, minimum area and Airbus EULA; research pricing must be requested",OneAtlas API client credentials/access token when enabled,"OneAtlas portal/API, secure download or cloud delivery",Not created / not required,Unknown or not applicable,Query OneAtlas/CCM for pre-26 Aug and post-event stereo coverage,https://space-solutions.airbus.com/imagery/spot/,https://space-solutions.airbus.com/oneatlas/,,Medium,2026-08-30,
